,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario
242,3300100,Angra dos Reis,-23.0011,-44.3196,0,33,5801,24,America/Sao_Paulo
275,3300159,Aperibé,-21.6252,-42.1017,0,33,2919,22,America/Sao_Paulo
349,3300209,Araruama,-22.8697,-42.3326,0,33,5803,22,America/Sao_Paulo
365,3300225,Areal,-22.2283,-43.1118,0,33,2925,24,America/Sao_Paulo
384,3300233,Armação dos Búzios,-22.7528,-41.8846,0,33,770,22,America/Sao_Paulo
391,3300258,Arraial do Cabo,-22.9774,-42.0267,0,33,5927,22,America/Sao_Paulo
526,3300308,Barra do Piraí,-22.4715,-43.8269,0,33,5805,24,America/Sao_Paulo
535,3300407,Barra Mansa,-22.5481,-44.1752,0,33,5807,24,America/Sao_Paulo
587,3300456,Belford Roxo,-22.764,-43.3992,0,33,2909,21,America/Sao_Paulo
668,3300506,Bom Jardim,-22.1545,-42.4251,0,33,5809,22,America/Sao_Paulo
687,3300605,Bom Jesus do Itabapoana,-21.1449,-41.6822,0,33,5811,22,America/Sao_Paulo
828,3300704,Cabo Frio,-22.8894,-42.0286,0,33,5813,22,America/Sao_Paulo
853,3300803,Cachoeiras de Macacu,-22.4658,-42.6523,0,33,5815,21,America/Sao_Paulo
929,3300902,Cambuci,-21.5691,-41.9187,0,33,5817,22,America/Sao_Paulo
991,3301009,Campos dos Goytacazes,-21.7622,-41.3181,0,33,5819,22,America/Sao_Paulo
1039,3301108,Cantagalo,-21.9797,-42.3664,0,33,5821,22,America/Sao_Paulo
1096,3300936,Carapebus,-22.1821,-41.663,0,33,772,22,America/Sao_Paulo
1108,3301157,Cardoso Moreira,-21.4846,-41.6165,0,33,2915,22,America/Sao_Paulo
1127,3301207,Carmo,-21.931,-42.6046,0,33,5823,22,America/Sao_Paulo
1164,3301306,Casimiro de Abreu,-22.4812,-42.2066,0,33,5825,22,America/Sao_Paulo
1321,3300951,Comendador Levy Gasparian,-22.0404,-43.214,0,33,2927,24,America/Sao_Paulo
1332,3301405,Conceição de Macabu,-22.0834,-41.8719,0,33,5827,22,America/Sao_Paulo
1380,3301504,Cordeiro,-22.0267,-42.3648,0,33,5829,22,America/Sao_Paulo
1632,3301603,Duas Barras,-22.0536,-42.5232,0,33,5831,22,America/Sao_Paulo
1637,3301702,Duque de Caxias,-22.7858,-43.3049,0,33,5833,21,America/Sao_Paulo
1668,3301801,Engenheiro Paulo de Frontin,-22.5498,-43.6827,0,33,5835,24,America/Sao_Paulo
1994,3301850,Guapimirim,-22.5347,-42.9895,0,33,2907,21,America/Sao_Paulo
2154,3301876,Iguaba Grande,-22.8495,-42.2299,0,33,774,22,America/Sao_Paulo
2294,3301900,Itaboraí,-22.7565,-42.8639,0,33,5837,21,America/Sao_Paulo
2309,3302007,Itaguaí,-22.8636,-43.7798,0,33,5839,21,America/Sao_Paulo
2333,3302056,Italva,-21.4296,-41.7014,0,33,5929,22,America/Sao_Paulo
2355,3302106,Itaocara,-21.6748,-42.0758,0,33,5841,22,America/Sao_Paulo
2369,3302205,Itaperuna,-21.1997,-41.8799,0,33,5843,22,America/Sao_Paulo
2412,3302254,Itatiaia,-22.4897,-44.5675,0,33,6003,24,America/Sao_Paulo
2523,3302270,Japeri,-22.6435,-43.6602,0,33,2913,21,America/Sao_Paulo
2720,3302304,Laje do Muriaé,-21.2091,-42.1271,0,33,5845,22,America/Sao_Paulo
2826,3302403,Macaé,-22.3768,-41.7848,0,33,5847,22,America/Sao_Paulo
2846,3302452,Macuco,-21.9813,-42.2533,0,33,776,22,America/Sao_Paulo
2859,3302502,Magé,-22.6632,-43.0315,0,33,5849,21,America/Sao_Paulo
2893,3302601,Mangaratiba,-22.9594,-44.0409,0,33,5851,21,America/Sao_Paulo
2958,3302700,Maricá,-22.9354,-42.8246,0,33,5853,21,America/Sao_Paulo
3042,3302809,Mendes,-22.5245,-43.7312,0,33,5855,24,America/Sao_Paulo
3050,3302858,Mesquita,-22.8028,-43.4601,0,33,1116,21,America/Sao_Paulo
3057,3302908,Miguel Pereira,-22.4572,-43.4803,0,33,5857,24,America/Sao_Paulo
3077,3303005,Miracema,-21.4148,-42.1938,0,33,5859,22,America/Sao_Paulo
3243,3303104,Natividade,-21.039,-41.9697,0,33,5861,22,America/Sao_Paulo
3265,3303203,Nilópolis,-22.8057,-43.4233,0,33,5863,21,America/Sao_Paulo
3272,3303302,Niterói,-22.8832,-43.1034,0,33,5865,21,America/Sao_Paulo
3324,3303401,Nova Friburgo,-22.2932,-42.5377,0,33,5867,22,America/Sao_Paulo
3331,3303500,Nova Iguaçu,-22.7556,-43.4603,0,33,5869,21,America/Sao_Paulo
3566,3303609,Paracambi,-22.6078,-43.7108,0,33,5871,21,America/Sao_Paulo
3573,3303708,Paraíba do Sul,-22.1585,-43.304,0,33,5873,24,America/Sao_Paulo
3605,3303807,Paraty,-23.2221,-44.7175,0,33,5875,24,America/Sao_Paulo
3654,3303856,Paty do Alferes,-22.4309,-43.4285,0,33,6005,24,America/Sao_Paulo
3765,3303906,Petrópolis,-22.52,-43.1926,0,33,5877,24,America/Sao_Paulo
3812,3303955,Pinheiral,-22.5172,-44.0022,0,33,778,24,America/Sao_Paulo
3831,3304003,Piraí,-22.6215,-43.9081,0,33,5879,24,America/Sao_Paulo
3936,3304102,Porciúncula,-20.9632,-42.0465,0,33,5881,22,America/Sao_Paulo
3971,3304110,Porto Real,-22.4175,-44.2952,0,33,780,24,America/Sao_Paulo
4063,3304128,Quatis,-22.4045,-44.2597,0,33,2923,24,America/Sao_Paulo
4072,3304144,Queimados,-22.7102,-43.5518,0,33,2911,21,America/Sao_Paulo
